Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2018,3,San Luis,52.35311497551916,14.983359875657099
2018,3,Santa Cruz,32.72785029455932,9.738987459252597
2018,3,Santa Fe,63.4096146162309,19.939106982732063
2018,3,Santiago Del Estero,36.24961697805127,8.996517443513934
2018,3,Tierra Del Fuego,92.77191839394062,27.506021696216745
2018,3,Tucumán,41.68101359528755,10.325137534986972
2018,2,Buenos Aires,62.78226651094991,20.374582324435124
2018,2,Capital Federal,106.53494128146691,44.632577746788044
2018,2,Catamarca,32.8575008674866,8.35838388395506
2018,2,Chaco,31.251704996034892,8.353123614291734
2018,2,Chubut,54.90230333735512,16.830485129144066
2018,2,Córdoba,63.2743661231958,19.373198551696014
2018,2,Corrientes,33.80975390881165,8.903247385340823
2018,2,Entre Ríos,49.20261187052838,14.711648453505866
2018,2,Formosa,29.434226520796997,7.4919076165093035
2018,2,Jujuy,23.432202729854474,5.9923974768014165
2018,2,La Pampa,71.04033787278055,23.40701065826804
2018,2,La Rioja,50.97789073923241,13.570922884408905
2018,2,Mendoza,36.97287272406129,10.318226443150964
2018,2,Misiones,31.630907682221824,8.61598877251767
2018,2,Neuquén,60.23679161402031,17.931877810369247
2018,2,Río Negro,50.147894623963396,15.42558308937726
2018,2,Salta,39.93719209989731,9.673102808845783
2018,2,San Juan,32.94664884868421,8.392841711641646
2018,2,San Luis,15.150424491351385,4.336137508962927
2018,2,Santa Cruz,33.33236451006607,9.919588050940062
2018,2,Santa Fe,62.57079239957442,19.675591530682105
